Classe de tarif,Cluster,Cluster
1 ,2,46.75925925925926
1 ,1,39.351851851851855
1 ,0,13.88888888888889
2 ,2,48.214285714285715
2 ,1,34.285714285714285
2 ,0,17.5
3 ,1,100.0
4 ,2,100.0
5 ,2,60.0
5 ,1,40.0
6 ,2,63.63636363636363
6 ,1,36.36363636363637
8 ,1,100.0
9 ,2,100.0
A ,2,59.13978494623656
A ,1,24.731182795698924
A ,0,16.129032258064516
B ,2,54.109589041095894
B ,1,32.87671232876712
B ,0,13.013698630136986
C ,1,100.0
E ,1,59.25925925925925
E ,2,33.33333333333333
E ,0,7.4074074074074066
F ,2,75.0
F ,0,12.5
F ,1,12.5
G ,2,85.71428571428571
G ,1,14.285714285714285
H ,2,55.55555555555556
H ,1,33.33333333333333
H ,0,11.11111111111111
I ,2,46.15384615384615
I ,1,38.46153846153847
I ,0,15.384615384615385
J ,0,100.0
K ,2,57.14285714285714
K ,1,33.33333333333333
K ,0,9.523809523809524
L ,2,57.14285714285714
L ,1,28.57142857142857
L ,0,14.285714285714285
M ,2,57.14285714285714
M ,1,35.714285714285715
M ,0,7.142857142857142
N ,2,66.66666666666666
N ,1,33.33333333333333
O ,2,50.0
O ,1,37.5
O ,0,12.5
P ,1,48.148148148148145
P ,2,40.74074074074074
P ,0,11.11111111111111
Q ,2,46.15384615384615
Q ,1,28.205128205128204
Q ,0,25.64102564102564
R ,2,45.16129032258064
R ,1,35.483870967741936
R ,0,19.35483870967742
S ,1,57.14285714285714
S ,2,28.57142857142857
S ,0,14.285714285714285
T ,2,58.333333333333336
T ,1,25.0
T ,0,16.666666666666664
U ,2,100.0
V ,1,38.88888888888889
V ,2,38.88888888888889
V ,0,22.22222222222222
W ,2,61.111111111111114
W ,1,33.33333333333333
W ,0,5.555555555555555
X ,2,50.0
X ,1,36.36363636363637
X ,0,13.636363636363635
